symbol_color
#f36f20
YYYYMMDD,HHMMSS,Latitude,Longitude,Magnitude
19630109,60403,34.95216667,-119.177,4.1
19630112,195233,32,-116.4013333,3.8
19630113,23939,33.017,-116.2168333,4.3
19630113,204518,33.02566667,-116.1788333,3.9
19630114,13330,33.0225,-116.1893333,3.6
19630116,125108,34.247,-117.1005,3.5
19630125,53959,33.02716667,-116.2058333,3.6
19630212,214549,34.91233333,-118.9935,3.5
19630218,165853,33.93316667,-118.361,3.5
19630222,155616,34.77016667,-121.582,3.7
19630301,2557,34.9685,-118.985,4.6
19630304,201042,34.95266667,-118.9735,4
19630316,93553,34.33266667,-116.8665,3.6
19630325,92843,35.982,-114.8175,4.8
19630412,52044,34.9535,-118.9716667,3.8
19630419,32109,35.797,-117.9916667,3.6
19630427,32453,32.22166667,-117.0626667,3.5
19630506,30423,36.59633333,-121.9658333,3.6
19630523,63634,33.0165,-115.6528333,4.2
19630523,64030,33.03616667,-115.6326667,3.5
19630523,64250,32.9945,-115.6516667,3.9
19630523,90605,33.02433333,-115.5883333,4.5
19630523,140222,33.0055,-115.6018333,3.5
19630523,141441,32.714,-115.105,3.5
19630523,155301,33.01216667,-115.6485,4.7
19630523,170428,32.99616667,-115.623,3.6
19630523,183636,32.98566667,-115.614,3.5
19630523,184003,32.99633333,-115.605,3.9
19630528,113754,34.94733333,-118.9933333,3.8
19630621,170036,33.09083333,-116.4723333,3.6
19630621,233808,34.34666667,-118.9575,3.8
19630717,230542,34.155,-116.0515,3.5
19630717,231107,34.16566667,-116.194,3.6
19630718,104031,34.17966667,-116.1333333,3.5
19630718,193745,34.16,-116.1585,4
19630719,155456,34.15916667,-116.1971667,3.8
19630720,14517,32.04266667,-116.0436667,4.1
19630726,73351,34.02266667,-117.2935,3.6
19630730,63457,34.162,-116.1956667,4.6
19630806,233846,33.82516667,-116.9028333,3.6
19630815,210231,36.391,-120.948,3.8
19630815,212134,36.22166667,-120.8876667,3.9
19630822,43356,34.12483333,-116.2038333,4.2
19630822,121311,33.761,-117.9803333,3.7
19630824,104906,36.11733333,-117.6641667,3.6
19630914,35116,33.56833333,-118.3281667,4.7
19630914,41539,33.564,-118.3316667,3.5
19630914,122813,35.81766667,-118.0313333,3.5
19630923,144153,33.66233333,-117.0236667,5.3
19630925,83737,33.404,-118.2731667,3.7
19630925,112630,33.40483333,-118.2733333,3.8
19630927,164613,33.08083333,-115.6828333,3.8
19631008,230242,33.62216667,-117.2346667,3.6
19631025,150524,35.42733333,-116.903,3.9
19631027,145022,33.22816667,-115.6963333,4
19631027,145245,33.25,-115.7,4.2
19631027,145656,33.214,-115.7065,4
19631027,145816,33.25,-115.7,4.5
19631027,175219,33.16416667,-115.6398333,3.8
19631027,180745,33.14083333,-115.579,3.9
19631027,181250,33.18016667,-115.6288333,4.3
19631027,182205,33.1515,-115.6523333,3.7
19631027,184938,33.21933333,-115.7115,3.8
19631027,193816,33.17783333,-115.6323333,3.5
19631027,203606,33.54716667,-118.2723333,3.6
19631028,81418,33.2795,-115.7956667,4.2
19631028,155538,33.30983333,-115.8728333,3.6
19631028,201349,33.3195,-115.8615,3.7
19631028,203003,33.04783333,-115.4711667,3.5
19631102,185811,33.276,-115.7895,3.6
19631121,11304,35.51033333,-119.2886667,3.8
19631130,225453,36.34783333,-120.3741667,3.9
19631206,135422,36.48166667,-117.8781667,3.7
19631210,222611,34.2045,-116.751,3.7
19631220,102758,34.17783333,-116.1975,3.5
19640102,194841,35.46333333,-118.3438333,4.2
19640106,231557,34.36616667,-116.4723333,3.9
19640106,234713,34.37466667,-116.4598333,4.6
19640201,195140,33.22833333,-115.6548333,3.6
19640205,194600,35.44966667,-118.6463333,3.5
19640207,220749,35.44866667,-118.6376667,4.5
19640207,221051,35.461,-118.6581667,4.3
19640208,52923,34.23916667,-118.5815,3.7
19640210,54726,36.1605,-120.99,3.8
19640215,154708,36.77083333,-118.1586667,3.6
19640217,185719,33.4465,-116.6525,3.5
19640309,204957,35.45583333,-118.6975,3.5
19640506,165404,35.42566667,-118.6543333,3.8
19640509,72223,34.48816667,-116.3423333,3.5
19640522,23825,33.44583333,-116.6281667,3.9
19640524,162642,35.11483333,-118.5645,3.5
19640531,63856,35.50933333,-118.8313333,3.6
19640606,114736,34.56183333,-121.5623333,4.1
19640621,153253,32.75333333,-116.9976667,3.8
19640623,45437,32.65716667,-117.1246667,3.8
19640715,31104,32.623,-117.1453333,3.9
19640719,62658,32.29116667,-117.8266667,3.7
19640801,182940,33.78566667,-118.8026667,3.6
19640804,204543,33.55166667,-116.6878333,4
19640817,223347,33.2165,-116.0516667,3.8
19640830,225737,34.26566667,-118.4431667,3.8
19640831,170338,35.46466667,-118.3421667,3.8
19640923,180935,36.15583333,-114.6428333,4.4
19640930,175125,35.4225,-118.6665,4
19641005,12108,33.00716667,-115.8383333,4.1
19641005,12455,33.0175,-115.8431667,4.3
19641005,15211,33.0505,-115.8583333,3.8
19641108,11918,35.9275,-120.0465,3.9
19641117,145228,33.871,-116.5805,4
19641121,172558,32.858,-115.943,4.3
19641121,173523,32.99333333,-116.0728333,3.5
19641126,194838,32.91333333,-115.5205,3.5
19641126,195423,32.9205,-115.5521667,3.5
19641129,124515,32.93283333,-115.5385,3.5
19641129,142525,32.97983333,-115.661,4.3
19641220,215605,36.00083333,-114.6111667,3.7
19641222,210104,32.06616667,-117.3136667,3.5
19641223,195121,34.87866667,-118.9591667,3.5
19641231,104105,35.07916667,-116.638,3.7
19650101,74132,34.1535,-117.4765,3.9
19650101,80417,34.13533333,-117.5248333,4.5
19650114,100931,36.45116667,-120.5755,3.5
19650212,101609,32.757,-119.0281667,3.6
19650219,174628,34.14966667,-117.479,3.5
19650221,183922,35.8965,-120.4628333,3.6
19650221,221712,32.29983333,-115.0205,3.6
19650225,74528,32.77066667,-115.4226667,3.7
19650225,112156,34.14716667,-117.4465,3.7
19650328,23224,36.23383333,-120.045,3.6
19650409,125010,36.09666667,-121.4778333,4
19650411,4645,33.0215,-115.575,3.8
19650411,13246,32.8,-115.45,3.6
19650411,54155,36.56883333,-121.3685,3.9
19650411,235916,32.51966667,-115.4015,3.5
19650415,200833,34.07216667,-117.5121667,4.6
19650424,72943,34.81366667,-120.4681667,3.7
19650427,92118,32.9005,-115.7501667,3.9
19650503,33048,36.48416667,-114.36,4
19650607,62137,32.69016667,-115.3775,3.5
19650616,5510,33.12616667,-115.5955,3.7
19650616,24206,33.08966667,-115.6225,4.3
19650616,34711,33.04033333,-115.5763333,3.5
19650616,93518,33.04416667,-115.5876667,3.7
19650616,173936,33.04966667,-115.5945,3.5
19650617,43225,33.03416667,-115.584,3.7
19650617,73021,33.0885,-115.6188333,4.4
19650617,74011,33.05966667,-115.582,4.1
19650617,74304,33.02233333,-115.546,4.1
19650623,161717,35.07733333,-118.9706667,3.9
19650706,91009,33.46516667,-116.4853333,3.5
19650716,74622,34.50966667,-118.4973333,4.1
19650718,155809,33.7625,-116.0803333,3.5
19650723,53157,35.71883333,-120.9021667,3.6
19650727,133114,33.21833333,-115.9916667,3.5
19650727,140440,33.24833333,-116.0065,4.2
19650727,151752,33.20533333,-116.0101667,3.7
19650810,75957,32.73533333,-115.8366667,3.7
19650813,134615,34.416,-119.7631667,3.6
19650819,200021,32.72483333,-115.949,3.6
19650826,125350,33.25216667,-116.0841667,4.1
19650826,133813,33.25966667,-116.0958333,4.4
19650826,134634,33.25466667,-116.0763333,3.6
19650826,134926,33.25583333,-116.0855,3.7
19650902,201341,32.89966667,-115.8276667,3.5
19650919,154210,35.92916667,-119.973,4.4
19650925,174343,34.7035,-116.4183333,5.2
19650925,174803,34.69716667,-116.4668333,4.8
19650926,70002,34.7265,-116.4758333,4.7
19651010,232312,34.08483333,-117.5088333,3.8
19651017,94519,33.96516667,-116.7581667,5
19651017,153652,33.999,-116.7895,4
19651019,213313,34.02133333,-116.7421667,3.7
19651019,213648,32.1085,-115.807,3.8
19651020,11644,33.96466667,-116.8151667,3.5
19651021,84302,34.0325,-116.766,3.7
19651102,124101,33.37933333,-116.3111667,3.7
19651112,210326,32.63483333,-115.8198333,3.6
19651130,84327,32.88416667,-116.1701667,3.9
19651203,73459,35.32766667,-118.5061667,3.7
19651203,224951,34.223,-117.097,3.6
19651225,153837,35.84133333,-116.7808333,3.5
19651226,142500,33.322,-116.735,3.6
19651227,31537,35.902,-116.7063333,3.6
19651228,153709,35.87916667,-116.7495,3.6
19660107,191023,33.19033333,-116.1968333,4
19660126,214506,33.16166667,-116.444,3.5
19660213,143448,33.11,-116.4453333,3.5
19660214,105748,33.215,-116.0656667,3.7
19660304,105236,32.77233333,-115.4588333,3.5
19660304,124006,32.88266667,-115.547,3.6
19660309,212309,35.4145,-118.418,3.6
19660319,142156,33.26616667,-116.281,4.1
19660418,92120,34.00483333,-116.658,3.5
19660520,73108,36.02983333,-117.3895,3.5
19660621,94603,35.24133333,-121.8801667,4.5
19660628,10029,36.4115,-120.4286667,3.5
19660628,40859,35.79733333,-120.2015,4.7
19660628,42616,35.80716667,-120.268,5.5
19660628,43247,35.9675,-120.3298333,3.9
19660628,43526,35.78433333,-120.216,4
19660628,43906,35.9035,-120.3911667,3.5
19660628,50104,35.822,-120.179,3.5
19660628,54558,35.99216667,-120.4505,3.7
19660628,63218,35.88033333,-120.4106667,3.8
19660629,21940,35.86916667,-120.4668333,3.9
19660629,131156,35.952,-120.4086667,3.7
19660629,195321,36.2085,-120.7118333,4.8
19660630,11736,35.84283333,-120.2545,3.8
19660701,94119,36.09516667,-120.5428333,3.6
19660702,120830,36.099,-120.4625,3.7
19660715,100943,35.415,-117.7941667,3.9
19660723,225558,35.4795,-114.551,3.8
