symbol_color
#8e499b
YYYYMMDD,HHMM,Latitude,Longitude,Depth,Magnitude
19060418,1312,38,-123,,7.9
19060817,10,51,179,,7.8
19060817,40,-33,-72,,8.5
19090414,1954,25.28,121.52,75,7
19390815,352,22.5,-79.25,20,5.97
19430729,302,18.99,-66.97,29,7.5
19430730,102,19.17,-66.86,24,6
19460804,1751,19.25,-69,0,7.8
19460808,1328,19.5,-69.5,0,7.4
19480421,2022,19.25,-69.5,40,7.1
19480628,713,36.5,136,10,6.8
19530531,1958,19.68,-70.4,40,6.9
19570322,1944,37.67,-122.48,,5.3
19620901,1920,35.56,49.81,19,6.9
19630726,417,42.04,21.38,0,6.1
19640328,336,61.01,-147.62,6,9.2
19640616,401,38.43,139.22,10,7.6
19650429,1528,47.31,-122.33,66,6.5
19660628,426,35.87,-120.48,1,6.2
19660304,2358,-38.7,178,33,6.2
19660320,142,0.84,29.86,15,7.2
19660819,1222,39.16,41.57,17,6.8
19670209,1524,2.89,-74.8,41,7.2
19670730,0,10.55,-67.31,23,6.5
19671210,2251,17.39,73.77,4,6.4
19680115,201,37.78,13.03,3,6.5
19680523,1724,-41.74,172.12,46,7.2
19680619,813,-5.55,-77.15,17,6.9
19680831,1047,34.03,58.96,11,7.2
19690329,916,11.91,41.21,35,6.3
19700514,1812,43.09,47.06,11,6.6
19700531,2023,-9.24,-78.84,73,7.9
19701210,434,-4.07,-80.66,19,7.1
19710209,1401,34.4,-118.39,5,6.4
19721223,629,12.35,-86.12,6,6.2
19871130,1923,58.783,-142.6,15,7.9
19880306,2235,57.26,-142.75,6,7.78
