symbol_color
#007ac2
YYYYMMDD,HHMM,Latitude,Longitude,Depth,Magnitude
19620107,1003,43.3,17.1,33,6
19620317,2047,10.8,-43.3,15,7
19620412,502,38.07,142.74,24,7.2
19620511,1411,17.18,-99.64,35,7.3
19620519,1458,17.2,-99.5,33,7.1
19620521,2115,-20,-177.37,437,7.5
19620611,715,43.6,18.3,0,6.3
19620726,814,7.49,-82.78,23,7.2
19620803,856,-23.28,-68.01,113,7.2
19620821,1819,41.4,15.5,34,6.1
19620901,1920,35.56,49.81,19,6.9
19621208,2127,-25.81,-63.27,588,7.2
19630324,1244,34.4,47.8,42,7.2
19630326,948,-30.11,-177.53,35,7.4
19630331,227,37,57.9,33,7
19630416,129,-1.13,128,34,7.2
19630419,735,35.63,96.96,15,6.9
19630518,1220,-8.2,115.6,65,6
19630726,417,42.04,21.38,0,6.1
19630726,417,42,21.5,13,6.9
19630815,1725,-13.71,-69.32,549,7.7
19630915,406,-10.47,165.76,35,7.5
19630917,1920,-10.28,165.41,29,7.5
19630924,1630,-10.6,-78,0,6.8
19631104,117,-6.73,129.68,35,7.8
19631109,2115,-8.98,-71.53,577,7.7
19631215,1934,-4.76,108.05,666,7.1
19631218,300,-24.77,-176.51,35,7.7
19640118,1204,23.1,120.5,33,6.9
19640206,1307,55.64,-156.07,3,7.1
19640328,336,61.01,-147.62,6,9.2
19640402,111,5.8,95.6,132,7
19640413,830,45.3,18.1,32,6
19640423,332,-5.42,133.93,5,7.1
19640424,556,-5.06,144.27,105,6.9
19640507,545,-4,34.9,33,6
19640526,1059,-56.24,-27.63,116,7.5
19640614,1216,38,38.5,8,6.1
19640616,401,38.43,139.22,10,7.6
19640912,2207,-49.07,164.39,27,6.9
19641117,815,-5.75,150.72,50,7.1
19650124,101,-2.45,125.96,28,8.2
19650204,501,51.21,178.49,28,8.7
19650309,1757,39.4,24,18,6.4
19650314,1553,36.4,70.71,209,7.5
19650328,1633,-32.49,-71.21,71,7.4
19650331,947,38.6,22.4,78,7.1
19650405,312,37.7,21.8,34,6.2
19650429,1528,47.31,-122.33,66,6.5
19650503,1001,13.5,-89.3,23,6.3
19650621,201,28.1,55.9,40,6
19650811,2231,-15.79,167.25,46,7.6
19650811,340,-15.47,166.98,17,7.2
19650823,1946,16.17,-95.84,10,7.4
19650912,2202,-6.47,70.74,29,7
19651113,433,43.84,87.75,51,7
19660205,201,39.1,21.7,22,6.3
19660304,2358,-38.7,178,33,6.2
19660307,116,39.1,41.6,38,6
19660307,2129,37.3,114.9,33,6.8
19660607,1359,11.3,139.63,49,7.1
19660615,132,-10.11,161.02,13,7.3
19660627,1041,29.6,80.9,33,6
19660819,1222,39.16,41.57,17,6.8
19661228,818,-25.5,-70.65,30,7.7
19670104,558,38.4,22,10,6
19670209,1524,2.89,-74.8,41,7.2
19670215,1611,-9.12,-71.32,600,7
