symbol_color
#005080
organization,station,location,latitude,longitude,begin,end,components,type,analog_type,digital_type,url
CNSN (USGS),ALE,Alert,82.5033,-62.35,1990,present,,,paper (microfiche),tif,
CNSN (USGS),EDM,Edmonton,53.223,-113.3497,1992,present,,,paper (microfiche),tif,
CNSN (USGS),FBC,Frobisher Bay,63.7333,-68.4667,,,,,paper (microfiche),tif,
CNSN (USGS),FFC,Flin Flon,54.725,-101.9783,1993,present,,,paper (microfiche),tif,
CNSN (USGS),FSB,Fort St. James,54.4767,-124.3283,2000,2017,,,paper (microfiche),tif,
CNSN (USGS),GWC,Great Whale River,55.2917,-77.7533,,,,,paper (microfiche),tif,
CNSN (USGS),HAL,Halifax,44.6378,-63.5912,2003,,,,paper (microfiche),tif,
CNSN (USGS),LDN,London,43.04,-81.1833,,,,,paper (microfiche),tif,
CNSN (USGS),MBC,Mould Bay,76.2417,-119.36,1992,1997,,,paper (microfiche),tif,
CNSN (USGS),MNT,Montreal,45.5025,-73.6231,1995,2010,,,paper (microfiche),tif,
CNSN (USGS),MUMO,Musselwhite Mine,52.61278,-90.39136,,,,,paper (microfiche),tif,
CNSN (USGS),OTT,Ottawa,45.3942,-75.7167,1992,present,,,paper (microfiche),tif,
CNSN (USGS),PHC,Port Hardy,50.7067,-127.433,1995,present,,,paper (microfiche),tif,
CNSN (USGS),PNT,Penticton,49.3224,-119.6254,1993,present,,,paper (microfiche),tif,
CNSN (USGS),RES,Resolute,74.6892,-94.8962,1992,present,,,paper (microfiche),tif,
CNSN (USGS),SCB,Scarborough,43.7167,-79.2333,,,,,paper (microfiche),tif,
CNSN (USGS),SCH,Schefferville,54.8183,-66.7833,1994,1994,,,paper (microfiche),tif,
CNSN (USGS),SES,Suffield,50.3958,-111.0417,,,,,paper (microfiche),tif,
CNSN (USGS),SFA,Sept-Chutes,47.1246,-70.8266,2018,present,,,paper (microfiche),tif,
CNSN (USGS),SJNN,St Johns,47.5951,-52.678,2005,present,,,paper (microfiche),tif,
CNSN (USGS),YKA,Yellowknife,62.4932,-114.6053,2013,present,,,paper (microfiche),tif,
