symbol_color
#00619b
organization,station,location,latitude,longitude,begin,end,components,type,analog_type,digital_type,url
"ERI, U. Tokyo",,Akadama ,37.99583333,138.533,,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Koishi ,37.26283333,136.8315,20070405,20071220,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Akiyama ,35.57433333,139.0583333,,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Arida ,34.08916667,135.159,20001101,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Asahi ,36.1255,137.8496667,,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Ashio ,36.6525,139.4565,,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Torigoe ,37.14516667,136.8096667,20070405,20071221,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Dodaira ,36.0015,139.19,,19980822,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Dodaira ,36.0015,139.19,19990130,20120904,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Dodaira2 ,36.00233333,139.1873333,19980914,19990127,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Dodaira2 ,36.00233333,139.1873333,20120906,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Fujioyama ,35.3665,138.9101667,,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Fujizakura ,35.4465,138.7585,20121016,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Fukaura ,37.8215,138.2211667,,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Futagosan ,33.58433333,131.5995,,20040610,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Fujisan ,35.3135,138.6758333,,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Haibara ,34.506,135.9905,,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Hachioji ,35.63466667,139.2745,20000529,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Hongu ,33.82616667,135.762,,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Hojo ,33.93316667,132.8128333,,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Hakuba ,36.68233333,137.8226667,,20061217,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Hinomisaki ,33.8855,135.0638333,,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Hokiyama ,34.852,139.0373333,,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Ichiyama ,34.90666667,138.9301667,,20061217,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Oyanagi ,39.09483333,140.7205,20080619,20081111,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Kitamata ,39.08666667,140.987,20080619,20081112,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Aratozawa ,38.88366667,140.8553333,20080619,20081112,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Itooki1 ,34.87383333,139.2065,,19980601,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Itooki1 ,34.87383333,139.2065,19981209,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Itooki2 ,34.93583333,139.2696667,,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Itooki3 ,34.96166667,139.217,,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Ise ,34.46183333,136.771,,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Kainokawa ,33.90416667,135.4461667,20001101,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Kumanoza ,32.5165,130.6585,20160422,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Katsuragisan ,34.34783333,135.4403333,20001101,20080221,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Kumano ,33.9575,136.1055,,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Kawakami ,35.9435,138.6713333,,20051018,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Kawara ,32.81466667,130.89,20160422,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Kawazu ,34.76583333,138.9868333,,20100124,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Kiyosumi ,35.20083333,140.145,,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Kozagawa ,33.54033333,135.7588333,20001031,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Kashiwazaki ,37.29816667,138.5125,,20111213,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Myojinyama ,33.80466667,134.6438333,,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Misaki ,33.407,132.1191667,,20051213,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Matsukawa ,36.44266667,137.8361667,,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Motosu ,35.425,138.6451667,20121016,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Nagahama ,33.53666667,132.466,20001101,20060306,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Neginohata ,34.8155,138.825,,20020522,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Nikko ,36.6245,139.4875,,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Nakanohara ,34.94416667,132.8203333,,20051206,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Nirayama ,35.07533333,138.98,,20060323,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Nishiyama ,37.467,138.6553333,20070723,20071212,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Nou ,37.051,138.0276667,,19981014,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Nou2 ,37.05183333,138.0268333,19981016,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Oishiyama ,34.102,135.3148333,,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Okuyama ,35.2305,138.4211667,,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Oomine ,36.67066667,138.1788333,,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Oosado ,38.24533333,138.4078333,,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Ooyama ,35.42333333,139.2398333,,20060322,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Oishizaki ,34.26783333,134.9496667,20001101,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
"ERI, U. Tokyo",,Sekiya2 ,37.0915,139.4881667,,,,,"microfilm, paper","tiff, pdf",http://wwweic.eri.u-tokyo.ac.jp/susu/index_en.html
