symbol_color
#84a338
organization,station,location,latitude,longitude,begin,end,components,type,analog_type,digital_type,url
ICGC,EBR,"Ebre, Spain",40.820167,0.49394,1905,,,,paper,tif,https://icgc.cat/en/Public-Administration-and-Enterprises/Services/Recorded-earthquakes-and-seismic-information/Seismic-information-and-maps-collections/Ebre-Observatory/Ebre-seismic-station-EBR/Search-of-available-analog-seismic-records-of-EBR-station
ICGC,FBR,"Fabra, Spain",41.4183907,2.123961,1906,,,,paper,tif,https://icgc.cat/en/Public-Administration-and-Enterprises/Services/Recorded-earthquakes-and-seismic-information/Seismic-information-and-maps-collections/Fabra-Observatory/Seismic-records-from-Observatori-Fabra/Search-of-available-analog-seismic-records-of-FBR-station
ICGC,AVN,"Lleida, Spain",41.88157,0.7506,1987,2000,,,paper,tif,https://icgc.cat/en/Public-Administration-and-Enterprises/Services/Recorded-earthquakes-and-seismic-information/Seismic-information-and-maps-collections/Analog-seismograms/Analog-seismic-station-of-Les-Avellanes-AVN
ICGC,CAD,"Riu de Cerdanya, Spain",42.33909,1.84002,1987,2001,,,paper,tif,https://icgc.cat/en/Public-Administration-and-Enterprises/Services/Recorded-earthquakes-and-seismic-information/Seismic-information-and-maps-collections/Analog-seismograms/Analog-seismic-station-of-Cerdanya-CAD
ICGC,EROQ,"Roquetes, Spain",40.8232,0.40883,1987,2003,,,paper,tif,https://icgc.cat/en/Public-Administration-and-Enterprises/Services/Recorded-earthquakes-and-seismic-information/Seismic-information-and-maps-collections/Ebre-Observatory/Roquetes-seismic-station-EROQ/Search-of-available-analog-seismic-records-of-EBR-station
ICGC,FONT,"Fontmartina, Spain",41.76118,2.43458,1989,2004,,,paper,tif,https://icgc.cat/en/Public-Administration-and-Enterprises/Services/Recorded-earthquakes-and-seismic-information/Seismic-information-and-maps-collections/Analog-seismograms/Analog-seismic-station-of-Fontmartina-FONT
ICGC,MRB,"Montserrat, Spain",41.59388,1.836,1987,1993,,,paper,tif,https://icgc.cat/en/Public-Administration-and-Enterprises/Services/Recorded-earthquakes-and-seismic-information/Seismic-information-and-maps-collections/Analog-seismograms/Analog-seismic-station-of-Montserrat-MRB
ICGC,OLT,"Olot, Spain",42.1432,2.47318,1985,2008,,,paper,tif,https://icgc.cat/en/Public-Administration-and-Enterprises/Services/Recorded-earthquakes-and-seismic-information/Seismic-information-and-maps-collections/Analog-seismograms/Analog-seismic-station-of-Olot-OLT
ICGC,SOR,"Sort, Spain",42.37442,1.13274,1993,2002,,,paper,tif,https://icgc.cat/en/Public-Administration-and-Enterprises/Services/Recorded-earthquakes-and-seismic-information/Seismic-information-and-maps-collections/Analog-seismograms/Analog-seismic-station-of-Sort-SOR
ICGC,VIH,"Viehgla, Spain",42.6277,0.76879,1985,2005,,,paper,tif,https://icgc.cat/en/Public-Administration-and-Enterprises/Services/Recorded-earthquakes-and-seismic-information/Seismic-information-and-maps-collections/Analog-seismograms/Analog-seismic-station-of-Vielha-VIH
