organization,station,location,latitude,longitude,begin,end,components,type,analog_type,digital_type,url
UNAM,TAC,Tacubaya,19.405,-99.194,1910,,,,paper,"pdf, jpg",
UNAM,MAZ,Mazatlán,23.188,-106.406,1910,,,,paper,"pdf, jpg",
UNAM,OAX,Oaxaca,17.021,-96.763,1911,,,,paper,"pdf, jpg",
UNAM,MER,Mérida,20.948,-89.616,1912,,,,paper,"pdf, jpg",
UNAM,ZACM,Zacatecas,22.776,-102.549,1912,,,,paper,"pdf, jpg",
UNAM,GUM,Guadalajara,20.679,-103.341,1920,,,,paper,"pdf, jpg",
UNAM,COLM,Colima,18.196,-103.704,1920,,,,paper,"pdf, jpg",
UNAM,PUE,Puebla,19.042,-98.197,1920,,,,paper,"pdf, jpg",
UNAM,VCM,Veracruz,19.201,-96.138,1920,,,,paper,"pdf, jpg",
UNAM,MNZ,Manzanillo,19.054,-104.331,1920,,,,paper,"pdf, jpg",
UNAM,CHH,Chihuahua,28.637,-106.078,1922,,,,paper,"pdf, jpg",
