symbol_color
#a085c6
organization,station,location,latitude,longitude,begin,end,components,type,analog_type,digital_type,url
USGS,AAE,"Addis Ababa, Ethiopia",9.02917,38.76556,19620611,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,AAM,"Ann Arbor, Michigan",42.3012,-83.6567,19621008,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,ADE,"Adelaide, Australia",-34.9669,138.70889,19620524,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,AFI,"Afiamalu, Samoa Island",-13.9094,-171.777,19621101,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,AKU,"Akureyri, Iceland",65.6867,-18.1067,19640731,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,ALQ,"Albuquerque, New Mexico",34.9425,-106.4575,19611117,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,ANP,"Anpu, Taiwan",25.1865,121.52,19630314,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,ANT,"Antofagasta,Chile",-23.705,-70.4153,19621228,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,AQU,"L'Aquila, Italy",42.35389,13.40194,19620511,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,ARE,"Arequipa, Peru",-16.4621,-71.4913,19620323,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,ATL,"Atlanta, Georgia",33.4333,-84.3375,19630621,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,ATH,"Athens, Greece",37.9722,23.7167,19620402,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,BAG,"Baguio City, Phillippines",16.4108,120.58,19620331,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,BDF,"Brasilia, Brazil",-15.6638,-47.9033,197101?,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,BEC,Bermuda,32.37944,-64.68111,19611228,1984,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,BHP,"Balboa Heights, Panama",8.96083,-79.5581,19620116,197703,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,BKS,"Berkeley, California",37.87622,-122.23558,19620608,19911001,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,BLA,"Blacksburg, Virginia",37.2113,-80.42049,19620904,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,BOG,"Bogota, Columbia",4.62306,-74.065,19620504,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,BOZ,"Bozeman, Montana",45.597,-111.6297,19630303,196803,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,BUL,"Bulawayo, Zimbabwe",-20.1433,28.6133,19630110,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,CAR,"Caracas, Venezuela",10.507,-66.928,19620524,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,CCG,"Camp Century, Greenland",77.1667,-61.1333,19621130,19630225,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,CHG,"Chiang Mai, Thailand",18.81381,98.94381,,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,CMC,"Coppermine, Canada",67.83333,-115.08333,19630422,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,COL,"College Outpost, Alaska",64.9,-147.79333,196401,198201,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,COP,"Copenhagen, Denmark",55.68531,12.4325,19620216,19991231,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,COR,"Corvallis, Oregon",44.5857,-123.303,19620801,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,CTA,"Charters Towers, Australia",-20.0883,146.254,19630322,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,DAG,"Danmarkshavn, Greenland",76.7714,-18.6547,19720901,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,DAL,"Dallas, Texas",32.8461,-96.7839,19611130,mid 1970's,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,DAV,"Davao, Phillippines",7.07,125.579,,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,DUG,"Dugway, Utah",40.195,-112.8133,19620509,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,EIL,"Eilat, Israel",29.66989,34.95119,19690101,19790102,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,EPT,"El Paso, Texas",31.7717,-106.506,19770606,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,ESK,"Eskdalemuir, Scotland",55.3167,-3.205,19640319,19951010,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,FLO,"Florissant, Missouri",38.8017,-90.37,19611202,19710831,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,FVM,"French Village, Missouri",37.984,-90.426,,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,GDH,"Godhavn, Greenland",60.25,-53.5333,19621102,19820826?,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,GEO,"Georgetown, D.C.",38.9,-77.0667,19611207,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,GIE,Galapagos Islands,-0.73333,-90.3,19640428,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,GOL,"Golden, Colorado",39.70028,-105.37111,,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,GRM,"Grahamstown, South Africa",-33.31333,26.50831,19671103,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,GSC,"Goldstone, California",35.30177,-116.80574,19630225,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,GUA,"Guam, Mariana Islands",13.53972,144.91408,,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,HKC,"Hong Kong, China",22.302,114.1743,19630508,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,HLW,"Helwan, Egypt",29.8583,31.3417,19620618,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,HNR,"Honiara, Solomon Islands",-9.43164,159.947,19620207,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
USGS,HOW,"Howrah, India",22.41667,88.30917,19631104,,6,,microfiche,tif,https://ds.iris.edu/spud/filmchip
