symbol_color
#006eaf
organization,station,location,latitude,longitude,begin,end,components,type,analog_type,digital_type,url
"IES, U. Iceland",,Adalbol,65.019,-15.582,1977,1993,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",AKU,Akureyri,65.687,-18.107,1935,2001,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Argilsstadir,63.788,-20.115,1976,1988,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Bjarnastadir,63.943,-21.303,1990,1990,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Dalvik,65.975,-18.534,1975,1975,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Eyvindara,6.283,-14.383,1959,1988,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Gaesadalur,65.74,-16.956,1968,1992,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Grimsey,66.542,-18.012,1975,1991,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Grimsfjall,64.415,-17.267,1977,2008,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Grimsstadir,65.643,-16.132,1939,1991,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Gufudalur,64.016,-21.187,1979,1980,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Hafursey,63.514,-18.737,1981,1986,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Halsar,65.67,-16.837,1978,1978,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Hellar,64.011,-20.16,1978,1980,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Hraun,66.11,-20.12,1975,1977,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Husavik,66.018,-17.325,1975,1977,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Hveravellir,64.868,-19.568,1974,1992,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Ir_skali,64.042,-21.376,1983,2008,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Jokulheimar,64.353,-18.237,1985,2005,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Kirkjubaejarklaustur,63.785,-18.058,1948,1993,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Krafla,65.697,-16.782,1973,2000,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Kvisker,63.987,-16.438,1976,1999,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Laugarvatn,64.216,-20.753,1972,1993,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Leirhnjukur,65.717,-16.795,1978,1978,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Leirhofn,66.406,-16.495,1979,1992,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Lindarbrekka,66.074,-16.683,1978,1978,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Litla_hekla,64.006,-19.682,1979,2007,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",LJO,Ljotipollur,64.024,-19.023,1979,2008,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Ludent,65.585,-16.818,1977,1994,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Midfell,64.398,-15.345,1977,2000,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Mohnukar,64.025,-19.69,2003,2008,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Nesjavellir,64.116,-21.257,1971,1990,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",REY,Reykjavik,64.138,-21.905,1910,2005,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Reynihlid,65.647,-16.912,1975,1994,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Sandmuli,65.771,-16.777,1977,1994,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Selfoss,63.944,-21.002,1976,1989,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Selkot,63.549,-19.609,1973,1992,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Sidumuli,64.7,-21.367,1974,1983,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Sigalda,64.179,-19.12,1972,1973,,,paper,jpg,https://seismis.hi.is/
"IES, U. Iceland",,Siglufjordur,66.155,-18.917,1975,1977,,,paper,jpg,https://seismis.hi.is/
