symbol_color
#49a4d8 
﻿organization,station,location,,,latitude,longitude,begin,end,components,type,analog_type,digital_type,url
JMA,SAP,Sapporo,Hokkkaido,Japan,43.0583,141.3317,19220122,19550121,,,,tiff,http://www.susu.adep.or.jp
JMA,SUT,Suttsu,Hokkkaido,Japan,42.79,140.24,19430504,19550121,,,,tiff,http://www.susu.adep.or.jp
JMA,MOR,Mori,Hokkkaido,Japan,42.105,140.575,19380402,19550106,,,,tiff,http://www.susu.adep.or.jp
JMA,WAK,Wakkanai,Hokkkaido,Japan,45.4167,141.6733,19410315,19550128,,,,tiff,http://www.susu.adep.or.jp
JMA,OBI,Obihiro,Hokkkaido,Japan,42.92,143.2217,19211111,19550128,,,,tiff,http://www.susu.adep.or.jp
JMA,HOO,Hiroo,Hokkkaido,Japan,42.2833,143.3167,19581106,19550116,,,,tiff,http://www.susu.adep.or.jp
JMA,KUS,Kushiro,Hokkkaido,Japan,42.9783,144.395,19170731,19941230,,,,tiff,http://www.susu.adep.or.jp
JMA,NEM,Nemuro,Hokkkaido,Japan,43.3283,145.5867,19270307,19850429,,,,tiff,http://www.susu.adep.or.jp
JMA,MRR,Muroran,Hokkkaido,Japan,42.3167,140.9833,19230831,19550121,,,,tiff,http://www.susu.adep.or.jp
JMA,URA,Urakawa,Hokkkaido,Japan,42.1583,142.78,19300125,19950228,,,,tiff,http://www.susu.adep.or.jp
JMA,TMR,Tomakomai,Hokkkaido,Japan,42.6333,141.5833,19530329,19920330,,,,tiff,http://www.susu.adep.or.jp
JMA,,Tarumaesan,Hokkkaido,Japan,,,19770103,19940620,,,,tiff,http://www.susu.adep.or.jp
JMA,,Usuzan,Hokkkaido,Japan,,,19770107,19811231,,,,tiff,http://www.susu.adep.or.jp
JMA,HAK,Hakodate,Hokkkaido,Japan,41.8333,140.7583,19140314,19950121,,,,tiff,http://www.susu.adep.or.jp
JMA,AOM,Aomori,Tohoku,Japan,40.8167,140.7833,19390617,19891101,,,,tiff,http://www.susu.adep.or.jp
JMA,HAC,Hachinohe,Tohoku,Japan,40.525,141.5267,19360628,19891101,,,,tiff,http://www.susu.adep.or.jp
JMA,MRK,Morioka,Tohoku,Japan,39.6967,141.1683,19240114,19941015,,,,tiff,http://www.susu.adep.or.jp
JMA,MIY,Miyako,Tohoku,Japan,39.645,141.9683,18960831,19941009,,,,tiff,http://www.susu.adep.or.jp
JMA,OFJ,Ofunato,Tohoku,Japan,39.0802,141.669,19630815,19891101,,,,tiff,http://www.susu.adep.or.jp
JMA,SEN,Sendai,Tohoku,Japan,38.26,140.9,19261003,19810123,,,,tiff,http://www.susu.adep.or.jp
JMA,ISN,Ishinomaki,Tohoku,Japan,38.425,141.3033,19270107,19741129,,,,tiff,http://www.susu.adep.or.jp
JMA,AKI,Akita,Tohoku,Japan,39.7183,140.1017,18960829,19870422,,,,tiff,http://www.susu.adep.or.jp
JMA,YAM,Yamagata,Tohoku,Japan,38.2533,140.35,19230901,19741010,,,,tiff,http://www.susu.adep.or.jp
JMA,SAK,Sakata,Tohoku,Japan,38.92067,139.8467,19370105,19910608,,,,tiff,http://www.susu.adep.or.jp
JMA,FKS,Fukushima,Tohoku,Japan,37.7567,140.475,19030331,19840305,,,,tiff,http://www.susu.adep.or.jp
JMA,ONA,Onahama,Tohoku,Japan,36.945,140.9067,19230914,19900805,,,,tiff,http://www.susu.adep.or.jp
JMA,SHR,Shirakawa,Tohoku,Japan,37.1183,140.225,19410715,19941004,,,,tiff,http://www.susu.adep.or.jp
JMA,MIT,Mito,Kanto,Japan,36.3783,140.4717,18970805,19701213,,,,tiff,http://www.susu.adep.or.jp
JMA,KAK,Kakioka,Kanto,Japan,36.2317,140.1933,19260726,19691031,,,,tiff,http://www.susu.adep.or.jp
JMA,MTJ,Tsukubasan,Kanto,Japan,36.2108,140.11,19290602,19521104,,,,tiff,http://www.susu.adep.or.jp
JMA,UTS,Utsunomiya,Kanto,Japan,36.5433,139.8717,18940414,19671119,,,,tiff,http://www.susu.adep.or.jp
JMA,MAE,Maebashi,Kanto,Japan,36.4017,139.035,18841101,19671119,,,,tiff,http://www.susu.adep.or.jp
JMA,KMG,Kumagaya,Kanto,Japan,36.1467,139.385,18970523,19680712,,,,tiff,http://www.susu.adep.or.jp
JMA,CHJ,Chichibu,Kanto,Japan,35.9917,139.0817,19590124,19700905,,,,tiff,http://www.susu.adep.or.jp
JMA,CHO,Choshi,Kanto,Japan,35.725,140.8433,19491226,19671119,,,,tiff,http://www.susu.adep.or.jp
JMA,TMS,Tomisaki,Kanto,Japan,34.92,139.8283,19230114,19671119,,,,tiff,http://www.susu.adep.or.jp
JMA,TOK,Tokyo,Kanto,Japan,35.6867,139.7583,18840102,19950331,,,,tiff,http://www.susu.adep.or.jp
JMA,SIN,Shinagawa,Kanto,Japan,35.6167,139.75,19310928,19421228,,,,tiff,http://www.susu.adep.or.jp
JMA,HJJ,Hachijojima,Kanto,Japan,33.1017,139.7883,19470218,19950331,,,,tiff,http://www.susu.adep.or.jp
JMA,,Izu-Oshima,Kanto,Japan,,,19381021,19951231,,,,tiff,http://www.susu.adep.or.jp
JMA,TOR,Torishima,Kanto,Japan,30.4817,140.305,19471222,19651115,,,,tiff,http://www.susu.adep.or.jp
JMA,YOK,Yokohama,Kanto,Japan,35.4367,139.655,19260222,19680307,,,,tiff,http://www.susu.adep.or.jp
JMA,NII,Niigata,Chubu,Japan,37.91,139.0517,19010809,19950411,,,,tiff,http://www.susu.adep.or.jp
JMA,TKD,Takada,Chubu,Japan,37.105,138.25,19220426,19950331,,,,tiff,http://www.susu.adep.or.jp
JMA,AIK,Aikawa,Chubu,Japan,38.02,138.2417,19391216,19950401,,,,tiff,http://www.susu.adep.or.jp
JMA,TOY,Toyama,Chubu,Japan,36.7067,137.2083,19321225,19950408,,,,tiff,http://www.susu.adep.or.jp
JMA,HKI,Fushiki,Chubu,Japan,36.7833,137.05,19270116,19450119,,,,tiff,http://www.susu.adep.or.jp
JMA,KAN,Kanazawa,Chubu,Japan,36.5467,136.6483,19090312,19951231,,,,tiff,http://www.susu.adep.or.jp
JMA,WAJ,Wajima,Chubu,Japan,37.39,136.8983,19291005,19950331,,,,tiff,http://www.susu.adep.or.jp
JMA,KFU,Kofu,Chubu,Japan,35.7426,138.5683,19430304,19661227,,,,tiff,http://www.susu.adep.or.jp
JMA,FUN,Funatsu,Chubu,Japan,35.4983,138.7633,19520120,19701207,,,,tiff,http://www.susu.adep.or.jp
JMA,NGN,Nagano,Chubu,Japan,36.66,138.1967,18910427,19690909,,,,tiff,http://www.susu.adep.or.jp
JMA,MTM,Matsumoto,Chubu,Japan,36.2433,137.9733,18980526,19700725,,,,tiff,http://www.susu.adep.or.jp
JMA,IID,Iida,Chubu,Japan,35.51,137.835,19230601,19710104,,,,tiff,http://www.susu.adep.or.jp
JMA,KAZ,Karuizawa,Chubu,Japan,36.34,138.5517,19260401,19700807,,,,tiff,http://www.susu.adep.or.jp
JMA,MAT,Matsushiro,Chubu,Japan,36.5417,138.2089,19750708,19951230,,,,tiff,http://www.susu.adep.or.jp
JMA,GIF,Gifu,Chubu,Japan,35.3983,136.765,18880618,19950331,,,,tiff,http://www.susu.adep.or.jp
