symbol_color
#2891ce
organization,station,location,latitude,longitude,begin,end,components,type,analog_type,digital_type,url
JMA,ABJ2,Abashiri2 ,43.84416667,143.866,,20000317,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JAK ,Akkeshi ,42.99866667,144.6925,,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JAB ,Ashibetsu ,43.507,142.2193333,,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JAR ,Tokachiashoro ,43.29933333,143.7656667,,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JIAM,Iburiatsuma ,42.62266667,141.9205,20121102,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JBT2,Biratori ,42.78083333,142.3598333,,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JCH ,Tokachichurui ,42.61683333,143.3585,,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JEW ,Eniwa ,42.84266667,141.4461667,,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JEM ,Erimo ,42.0185,143.1535,,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JFR ,Minamifurano ,43.166,142.5896667,,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,HAKJ,Hakodate2 ,41.83666667,140.775,,19980228,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JKHN,Kushirohamanaka ,43.08283333,145.1608333,20121101,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JHY ,Hiyamakaminokuni ,41.68016667,140.0538333,,19980205,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JHR ,Sorachihokuryu ,43.74533333,141.721,,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,ASAJ,Kamikawaasahi ,44.11883333,142.593,,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JKK2,Kamikawa2 ,43.87516667,142.7441667,19971202,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JKK ,Kamikawa ,43.814,142.8433333,,19971201,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JKB ,Oshimaminamikayabe ,41.89016667,141.0288333,,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,,Kiyosatokiyoizumi ,43.6945,144.5346667,20040514,20041124,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JMP ,Maruseppu ,44.00933333,143.3558333,,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JNK ,Nakashibetsu ,43.58783333,144.715,,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,NEM2,Nemuro2 ,43.37,145.74,,19990329,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JNB ,Noboribetsu ,42.47116667,141.0346667,,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JNBK,Urakawanobuka ,42.2825,142.7488333,20020320,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JOR ,Okushirito ,42.06916667,139.4415,,20001114,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JOSM,Okushirimatsue ,42.08516667,139.4716667,20001114,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JOMM,Oshimamatsumae ,41.52483333,140.0068333,20130701,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JOB ,Onbetsu ,42.90583333,143.8308333,,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JRA ,Rausu ,43.94033333,145.118,,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JRBN,Rebuntou ,45.42333333,141.065,20130702,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JRR ,Rishirito ,45.14,141.3073333,,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JHST,Hiyamasetana ,42.4225,139.8766667,20120703,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JSK ,Shiribeshishakotan ,43.35483333,140.472,,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,,Sharifuji ,43.838,144.7331667,20040514,20041124,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JNSB,Nemuroshibetsu ,43.7755,145.0045,20130701,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
JMA,JSH ,Shiribeshishimamaki ,42.6455,140.0413333,,,,,"microfilm, paper","jpeg, tiff",http://www.susu.adep.or.jp/
